,,"Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense","Penalties for drink driving, repeated offense"
"Jordan","2016","No","Yes","No data","No","Yes","No","No","No"
"Kazakhstan","2016","No","Yes","Yes","No","Yes","No","No","No"
"Kenya","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Kiribati","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Kuwait","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Kyrgyzstan","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Lao People's Democratic Republic","2016","No","No","Yes","No","Yes","Yes","No","Yes"
"Latvia","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Lebanon","2016","No","No","Yes","No","Yes","No","Yes","No"
"Lesotho","2016","No","Yes","Yes","No","Yes","Yes","Yes","No"
"Liberia","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Libya","2016","No","Yes","Yes","No","No","No","No","Yes"
"Lithuania","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Luxembourg","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Madagascar","2016","No","Yes","Yes","No","Yes","Yes","No","Yes"
"Malawi","2016","No","Yes","Yes","No","No","No","No","Yes"
"Malaysia","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Maldives","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Mali","2016","No","Yes","No","No","Yes","Yes","Yes","Yes"
"Malta","2016","No","Yes","Yes","No","Yes","No","No","No"
"Marshall Islands","2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Mauritania","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Mauritius","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Mexico","2016","No","Subnational","Subnational","No","Subnational","Subnational","No","No"
"Micronesia (Federated States of)","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Monaco","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Mongolia","2016","Yes","Yes","Yes","No","Yes","No","Yes","Yes"
"Montenegro","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Morocco","2016","No","Yes","Yes","No","Yes","No","Yes","No"
"Mozambique","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Myanmar","2016","No","Yes","Yes","No","Yes","No","No","No"
"Namibia","2016","No","Yes","Yes","No","Yes","No","No","No"
"Nauru","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Nepal","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Netherlands (Kingdom of the)","2016","Yes","No","Yes","No","Yes","Yes","Yes","No"
"New Zealand","2016","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Nicaragua","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Niger","2016","No","Yes","Yes","No","Yes","Yes","No","Yes"
"Nigeria","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"Niue","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"North Macedonia","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Norway","2016","No","Yes","Yes","No","Yes","No","No","No"
"Oman","2016","No","Yes","Yes","No","No","No","No","Yes"
"Pakistan","2016","No","Yes","Yes","No","No","No","No","Yes"
"Palau","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Panama","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Papua New Guinea","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Paraguay","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Peru","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Philippines","2016","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Poland","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Portugal","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Qatar","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Republic of Korea","2016","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Republic of Moldova","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Romania","2016","No","No","Yes","No","Yes","No","Yes","No"
"Russian Federation","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Rwanda","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Saint Kitts and Nevis","2016","No","Yes","Yes","No","Yes","No","No","No"
"Saint Lucia","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Saint Vincent and the Grenadines","2016","No","Yes","Yes","No","Yes","No","No","No"
"Samoa","2016","Yes","Yes","Yes","No","","Yes","Yes","Yes"
"San Marino","2016","No","No","Yes","No","Yes","Yes","Yes","Yes"
"Sao Tome and Principe","2016","No","No","No","No","No","No","No","No"
"Saudi Arabia","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Senegal","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"Serbia","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Seychelles","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Sierra Leone","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Singapore","2016","No","Yes","No","No","Yes","No","No","No"
"Slovakia","2016","No","Yes","Yes","No","Yes","Yes","No","No"
"Slovenia","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Solomon Islands","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Somalia","2016","No","No","No","No","No","No","No","No"
"South Africa","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
"South Sudan","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Spain","2016","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Sri Lanka","2016","No","Yes","Yes","No","Yes","Yes","No","No"
"Sudan","2016","No","No","Yes","No","No","No","No","No"
"Suriname","2016","No","Yes","Yes","No","Yes","No","No","No"
"Sweden","2016","Yes","Yes","Yes","No","Yes","No","No","No"
"Switzerland","2016","No","No","Yes","No","Yes","No","No","Yes"
"Syrian Arab Republic","2016","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Turkiye","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Tajikistan","2016","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"Thailand","2016","Yes","Yes","Yes","No","Yes","No","No","No"
"Timor-Leste","2016","No","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Togo","2016","No","Yes","No","No","Yes","Yes","No","Yes"
"Tonga","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Trinidad and Tobago","2016","No","Yes","Yes","No","Yes","No","No","No"
"Tunisia","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Turkmenistan","2016","No","Yes","Yes","No","Yes","Yes","No","No"
"Tuvalu","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"Uganda","2016","No","Yes","Yes","No","No","No","No","Yes"
"Ukraine","2016","No","Yes","Yes","No","Yes","No","No","No"
"United Arab Emirates","2016","No data","No data","No data","No data","No data","No data","No data","No data"
"United Kingdom of Great Britain and Northern Ireland","2016","No","Yes","Yes","No","Yes","No","No","No"
"United Republic of Tanzania","2016","No","Yes","Yes","No","Yes","No","Yes","Yes"
"United States of America","2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay","2016","Yes","No","Yes","No","Yes","Yes","No","Yes"
"Uzbekistan","2016","No","No","Yes","No","Yes","No","No","No"
"Vanuatu","2016","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Venezuela (Bolivarian Republic of)","2016","No","No","Yes","No","Yes","Yes","No","Yes"
"Viet Nam","2016","No","Yes","Yes","No","Yes","No","No","Yes"
"Yemen","2016","No","Yes","Yes","No","No","No","Yes","Yes"
"Zambia","2016","Yes","Yes","Yes","No","Yes","No","No","Yes"
"Zimbabwe","2016","Yes","Yes","Yes","No","Yes","Yes","No","Yes"
